NAME YEAR DOY YYYY-MM-DD TYPE
HOB2 2016 326 2016-11-21 RSFY
HOB2 2021 351 2021-12-17 Asu
HOFN 2001 264 2001-09-21 AsDui
HOFN 2007 265 2007-09-22 RSFYAsDui
HOFN 2013 125 2013-05-05 RSFYAsDui
HOFN 2018 163 2018-06-12 RSFYI
HOFN 2019 131 2019-05-11 RSFYI
HOLB 1992 251 1992-09-07 RSF
HOLB 1993 300 1993-10-27 RSF
HOLB 1994 123 1994-05-03 RSFAsau
HOLB 1999 138 1999-05-18 RSF
HOLB 2002 002 2002-01-02 RSF
HOLB 2002 023 2002-01-23 AsD
HOLB 2009 065 2009-03-06 RSF
HOLB 2012 123 2012-05-02 RSFCYAsl
HOLB 2017 299 2017-10-26 RSFYAsDu
HOLM 2002 221 2002-08-09 As
HOLM 2002 297 2002-10-24 RSF
HOLM 2002 325 2002-11-21 RSF
HOLM 2002 330 2002-11-26 RSF
HOLM 2017 338 2017-12-04 RSF
HOLM 2021 257 2021-09-14 RSFYI
HRAO 1998 014 1998-01-14 RSFIs
HRAO 2000 107 2000-04-16 RSF
HRAO 2004 324 2004-11-19 As
HRAO 2006 362 2006-12-28 RSFIs
HRAO 2007 345 2007-12-11 SAs
HRAO 2012 090 2012-03-30 RSF
HRAO 2014 204 2014-07-23 RSFCYI
HRAO 2021 184 2021-07-03 RSFYI
HYDE 2000 350 2000-12-15 RSF
HYDE 2001 194 2001-07-13 RSFAsDi
HYDE 2007 328 2007-11-24 RSFYIAsDi
IDDR 2008 095 2008-04-04 RFYAsi
IDDR 2015 104 2015-04-14 RSFI
IDDR 2015 126 2015-05-06 Asl
IDDR 2023 200 2023-07-19 RS
IISC 2001 198 2001-07-17 RSFI
IISC 2008 008 2008-01-08 As
IISC 2009 007 2009-01-07 RSFI
IISC 2017 303 2017-10-30 RSFCY
ILHA 2010 263 2010-09-20 RFAs
ILHA 2020 353 2020-12-18 RSF
ILHA 2021 322 2021-11-18 As
IMPZ 2007 141 2007-05-21 RSFYAsa
IMPZ 2014 357 2014-12-23 RSFY
IMPZ 2017 318 2017-11-14 RSFY
IMPZ 2022 333 2022-11-29 RSFYAs
INEG 1999 268 1999-09-25 RSFCs
INEG 2000 036 2000-02-05 RSFI
INEG 2000 037 2000-02-06 Asui
INEG 2008 073 2008-03-13 RSF
INEG 2016 141 2016-05-20 RSFYAsau
INEG 2021 137 2021-05-17 RSFYAsu
INVK 2002 212 2002-07-31 RSF
INVK 2003 233 2003-08-21 AD
INVK 2016 247 2016-09-03 RSFI
IQAL 2011 255 2011-09-12 RS
IQAL 2024 192 2024-07-10 RSFY
IRKJ 2025 005 2025-01-05 RSF
ISBA 2009 217 2009-08-05 RSFYI
ISBA 2011 278 2011-10-05 Asi
ISPA 2023 266 2023-09-23 RSFY
JAB1 2001 003 2001-01-03 SAs
JAB1 2001 361 2001-12-27 RSFs
JAB1 2003 033 2003-02-02 Asil
JAB1 2003 267 2003-09-24 RSFC
JAB1 2003 323 2003-11-19 RSFI
JAB1 2005 001 2005-01-01 RSFIsu
JAB1 2006 079 2006-03-20 RSF
JAB1 2007 052 2007-02-21 As
JAB1 2007 332 2007-11-28 SFAs
JOG2 2011 123 2011-05-03 RSFAsu
JOG2 2011 337 2011-12-03 RSFYAs
JOG2 2013 036 2013-02-05 RSFYAsa
JOG2 2023 296 2023-10-23 RSFYAsa
JOZ2 2008 074 2008-03-14 RSFAsDl
JOZ2 2019 081 2019-03-22 RSFYAsi
JOZE 2009 141 2009-05-21 RSF
