name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
MSKU 2002-06-17 2002-08-23  +0.7123  +0.3208  +0.0833  +0.0586   319   646  +3.8448  1.207e-04     1
MSKU 2006-08-02 2006-12-09  +0.3208       NA  +0.0586       NA   646    NA       NA         NA    NA
NAIN 2010-12-15 2010-12-17  +0.3684  +0.2898  +0.0084  +0.0100  1526  1013  +5.9913  2.082e-09     1
NAIN 2017-02-26 2017-03-04  +0.2898  +0.2764  +0.0100  +0.0116  1013   757  +0.8747  3.818e-01     0
NAUR 2018-03-19 2018-04-13  +0.2100  +0.8187  +0.0652  +0.0511   365   636  -7.3502  1.979e-13     1
NAUR 2024-07-04 2024-07-09  -0.2140  -0.7537  +0.0691  +0.0575   337   512  +6.0047  1.917e-09     1
NAUR 2025-12-05 2025-12-30  -0.7537       NA  +0.0575       NA   512    NA       NA         NA    NA
NICO 1997-05-15 1997-08-24       NA  +0.0067       NA  +0.0238    NA   864       NA         NA    NA
NICO 2023-07-10 2023-10-31  +0.4532  +0.3154  +0.0209  +0.0427  1141   197  +2.8961  3.778e-03     1
NICO 2025-06-03 2025-07-06  +0.9076  +0.4985  +0.0424  +0.0610   204   175  +5.5073  3.645e-08     1
NLIB 2002-10-30 2003-01-04  -2.3151  +0.1095  +0.0770  +0.0119   144  2183 -31.1386 7.235e-213     1
NLIB 2025-11-05 2025-12-30  -2.4159       NA  +0.0677       NA   168    NA       NA         NA    NA
NRC1 1998-01-11 1998-02-28  +0.3880  +0.2015  +0.0185  +0.0110   679  1686  +8.6872  3.714e-18     1
NRIL 2006-11-08 2007-02-25  -0.2857  -0.3105  +0.0053  +0.0171  1966   260  +1.3866  1.656e-01     0
NRIL 2007-12-06 2007-12-21  -0.3105  -0.3710  +0.0171  +0.0072   260  1014  +3.2602  1.113e-03     1
NTUS 1997-08-31 1998-05-15       NA  -0.7721       NA  +0.0340    NA  1065       NA         NA    NA
NURK 2009-11-30 2010-01-08  -0.6082  -0.9147  +0.0500  +0.0614   339   214  +3.8686  1.094e-04     1
NURK 2011-06-07 2011-06-10  +0.0045  -0.0072  +0.0657  +0.0626   225   200  +0.1288  8.975e-01     0
NURK 2012-01-04 2012-01-09  -0.0072  +0.0818  +0.0626  +0.0436   200   462  -1.1664  2.434e-01     0
NVSK 2000-07-14 2000-12-30       NA  -0.4696       NA  +0.0104    NA  1362       NA         NA    NA
NVSK 2006-02-11 2006-03-11  -0.4696  -0.3363  +0.0104  +0.0370  1362   183  -3.4639  5.324e-04     1
NVSK 2006-11-03 2007-02-02  -0.3363  -0.1188  +0.0370  +0.0166   183   636  -5.3579  8.419e-08     1
NVSK 2008-12-05 2009-02-06  -0.1188  -0.3527  +0.0166  +0.0168   636   628  +9.8875  4.717e-23     1
NVSK 2010-11-30 2011-01-29  -0.3527  -0.7007  +0.0168  +0.0190   628   397 +13.7204  7.663e-43     1
NYA1 2009-01-02 2009-04-06  +0.2192  +0.0016  +0.0044  +0.0047  3261  2795 +33.7578 8.211e-250     1
OHI2 2004-08-25 2004-10-06  +0.5209  +0.3296  +0.0136  +0.0309   742   160  +5.6692  1.435e-08     1
OHI2 2005-04-09 2005-11-11  +0.3296  +0.6646  +0.0309  +0.0232   160   255  -8.6704  4.305e-18     1
OHI2 2006-09-23 2006-10-16  +0.6646  +0.3740  +0.0232  +0.0075   255  2446 +11.9182  9.515e-33     1
OHI2 2023-06-14 2023-07-08  -0.0440       NA  +0.0120       NA   951    NA       NA         NA    NA
OHIG 2001-10-05 2002-02-19  +0.6196       NA  +0.0290       NA   275    NA       NA         NA    NA
