name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
POTS 2009-06-30 2009-07-04  +0.6191  +0.3550  +0.0135  +0.0106   966  1586 +15.3589  3.089e-53     1
POVE 2008-07-02 2008-07-20       NA  +1.0180       NA  +0.1497    NA    59       NA         NA    NA
POVE 2024-09-01 2024-09-28  -0.8152  -0.4571  +0.0309  +0.0552  1352   428  -5.6632  1.486e-08     1
PRDS 2019-03-19 2019-03-22  +0.0414  +0.0358  +0.0125  +0.0103   743  1254  +0.3446  7.304e-01     0
PRDS 2022-10-03 2022-10-09  +0.0358  +0.1764  +0.0103  +0.0212  1254   191  -5.9644  2.456e-09     1
PRE1 2001-08-16 2001-09-04  +0.3815  +0.1592  +0.0261  +0.0249   690   718  +6.1557  7.473e-10     1
PVEP 1998-12-26 1999-01-14  -0.1921  -0.0225  +0.0438  +0.0623   334   147  -2.2270  2.595e-02     1
PVEP 1999-06-12 1999-06-30  -0.0225  -0.0274  +0.0623  +0.0429   147   331  +0.0649  9.482e-01     0
PVEP 2000-06-20 2000-08-05  -0.0274       NA  +0.0429       NA   331    NA       NA         NA    NA
QUI2 2007-01-29 2007-02-08  -0.9725  -0.4250  +0.0938  +0.0257    80   867  -5.6310  1.792e-08     1
QUI2 2009-07-11 2009-08-01  -0.4250       NA  +0.0257       NA   867    NA       NA         NA    NA
QUIN 2004-12-31 2005-01-14  -0.5951  -0.5014  +0.0179  +0.0123   965  2119  -4.3161  1.588e-05     1
RABT 2005-04-26 2005-04-27  +0.5325  -0.2884  +0.0203  +0.0713  1592   188 +11.0756  1.648e-28     1
RESO 2014-01-02 2014-01-29       NA  +0.4456       NA  +0.0086    NA   338       NA         NA    NA
RESO 2024-01-15 2024-01-18  +0.3782  +0.4766  +0.0181  +0.0129    62   241  -4.4343  9.239e-06     1
RIGA 2022-12-04 2022-12-21  +0.3015  +0.2017  +0.0212  +0.0137   443  1078  +3.9515  7.766e-05     1
SCH2 2001-12-02 2002-01-11  +0.0610  -0.6420  +0.0073  +0.0206  1400   101 +32.2005 1.739e-227     1
SEY1 1995-10-21 1997-02-03       NA  -0.9402       NA  +0.0370    NA  1426       NA         NA    NA
SIMO 2007-07-19 2007-07-28  +0.0998  +0.1285  +0.0504  +0.0424   261   282  -0.4346  6.638e-01     0
SIMO 2008-11-14 2008-12-30  +0.1285       NA  +0.0424       NA   282    NA       NA         NA    NA
SOLA 2004-03-07 2004-04-02       NA  +1.1357       NA  +0.0640    NA    83       NA         NA    NA
SOLA 2004-07-20 2004-07-24  +1.1357  +0.6737  +0.0640  +0.0678    83    92  +4.9571  7.154e-07     1
SOLA 2007-05-31 2007-06-04  +0.6737  +0.3799  +0.0678  +0.0315    92   298  +3.9301  8.490e-05     1
SUTV 2015-04-10 2015-04-12  +0.0900  +0.2266  +0.0186  +0.0146   605   874  -5.7801  7.464e-09     1
SYOG 2000-12-31 2001-02-02  +1.7848  +1.6080  +0.0181  +0.0132   138   250  +7.8970  2.857e-15     1
SYOG 2001-11-26 2002-01-15  +1.6080  +1.7106  +0.0132  +0.0108   250   438  -6.0174  1.772e-09     1
TASH 2005-11-19 2005-11-21  +0.9773  +0.5767  +0.0234  +0.0496   865    89  +7.3045  2.783e-13     1
TEHN 2017-11-16 2017-12-28  -0.6298  -0.9685  +0.0867  +0.0517    57   123  +3.3558  7.912e-04     1
TEHN 2019-11-06 2019-11-12  -0.1506  -0.7482  +0.0582  +0.0338   112   314  +8.8722  7.169e-19     1
TEHN 2021-12-06 2021-12-25  -0.7482  -0.6909  +0.0338  +0.0567   314    64  -0.8675  3.857e-01     0
THTG 2019-08-04 2019-08-06  +1.6710  +2.3049  +0.0553  +0.0456   436   627  -8.8481  8.900e-19     1
THU1 1998-03-25 1998-04-10  -0.3461  -0.3473  +0.0127  +0.0099   440   851  +0.0693  9.447e-01     0
THU1 2002-02-24 2002-04-05  -0.0678  -0.0539  +0.0158  +0.0438   207    75  -0.2991  7.648e-01     0
TIXI 2008-11-21 2008-12-17  -0.1257  -0.0388  +0.0237  +0.0090   162   571  -3.4302  6.032e-04     1
TRAB 2004-03-23 2004-03-26  +0.9097  +1.1973  +0.0381  +0.0286   467  1086  -6.0391  1.550e-09     1
TROM 2002-05-25 2002-05-30  +0.2959  +0.2150  +0.0087  +0.0076  1858  2381  +7.0259  2.127e-12     1
TSEA 2006-12-16 2007-01-23  +0.1954  +0.1350  +0.0087  +0.0076  1787  2284  +5.2430  1.580e-07     1
TXES 2015-08-30 2015-09-11  -0.2702  -0.0725  +0.0316  +0.0200   499  1388  -5.2855  1.254e-07     1
UNBN 2017-09-14 2017-09-19  +0.1372  +0.3052  +0.0279  +0.0120   248  1289  -5.5323  3.161e-08     1
UNSA 2007-07-04 2007-07-07  +2.9539  +2.5217  +0.0430  +0.0406  1009  1124  +7.3128  2.615e-13     1
URUM 2020-11-30 2021-01-02  +0.8803  +0.2133  +0.0381  +0.0177   229   650 +15.8767  9.187e-57     1
URUS 2016-07-27 2016-08-08  +0.1793  +0.2989  +0.0232  +0.0294   802   560  -3.1926  1.410e-03     1
USUD 1998-01-13 1998-02-04  -0.2101  +0.3704  +0.0190  +0.0208   795   662 -20.5801  4.138e-94     1
USUD 2000-02-16 2000-04-23  +0.3704  +1.8301  +0.0208  +0.0779   662   146 -18.1007  3.147e-73     1
VALD 2006-01-04 2006-02-06  -0.3158  -0.0705  +0.0130  +0.0112   930  1228 -14.2658  3.576e-46     1
VALD 2017-01-18 2017-01-24  +0.0923  +0.1981  +0.0110  +0.0070  1237  2922  -8.1147  4.869e-16     1
VENE 1997-01-31 1997-02-23  -4.2537  -5.7517  +0.0788  +0.0541    41   192 +15.6726  2.328e-55     1
VENE 2000-02-04 2000-02-08  -7.0109  -7.7115  +0.0511  +0.0581   149    95  +9.0517  1.408e-19     1
VILL 1994-11-24 1994-12-21       NA  +0.0103       NA  +0.0199    NA   793       NA         NA    NA
VTSP 2008-04-17 2008-04-23  +0.2289  +0.0973  +0.0325  +0.0138   126  1243  +3.7259  1.946e-04     1
WTZL 2016-06-18 2016-07-26       NA  +0.7261       NA  +0.0155    NA   667       NA         NA    NA
WUHN 1998-12-19 1998-12-23  +2.5596  +1.6903  +0.0749  +0.0445   151   326  +9.9712  2.037e-23     1
XMIS 2022-08-14 2022-08-16  -0.3732  -0.7188  +0.0265  +0.0332  1812  1092  +8.1442  3.818e-16     1
YAKZ 2000-10-02 2000-10-03  +0.4607  +0.4365  +0.0325  +0.0124   153   159  +0.6940  4.877e-01     0
YAKZ 2001-03-12 2001-03-30  +0.4365  +0.2138  +0.0124  +0.0424   159    70  +5.0446  4.546e-07     1
YEBE 2005-08-25 2005-09-05  +0.5737  +0.2583  +0.0614  +0.0185   116   779  +4.9214  8.592e-07     1
YIBL 2003-07-14 2003-09-17       NA  -0.3800       NA  +0.1002    NA    97       NA         NA    NA
YKRO 2004-07-20 2004-07-23  +2.2144  +2.1086  +0.1089  +0.0284   135  2319  +0.9412  3.466e-01     0
ZIMM 2011-10-04 2011-11-01  -0.1889  -0.2376  +0.0120  +0.0135  1824  1411  +2.6924  7.094e-03     1
ZWE2 2005-09-20 2005-10-13  +1.0568  +0.5421  +0.0450  +0.0109   160  1301 +11.1294  9.021e-29     1
