name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
ASPA 2024-09-01 2024-09-02  -0.3076  -0.7024  +0.1123  +0.0764   128   257  +2.9069  3.650e-03     1
ASPA 2025-08-08 2025-09-04  +0.3926  +0.7021  +0.1425  +0.1141    81   117  -1.6955  8.997e-02     0
AUCK 2001-05-02 2001-05-13  -0.5664  -0.2614  +0.0437  +0.0438   236   164  -4.9280  8.310e-07     1
AZGB 2015-09-25 2015-11-26  -0.3884  +0.0910  +0.0410  +0.0277   187   318  -9.6842  3.520e-22     1
AZGB 2016-11-03 2016-11-03  +0.0910  +0.4932  +0.0277  +0.0101   318  2272 -13.6304  2.642e-42     1
BADG 2006-11-08 2007-02-14  +0.1001  +0.0487  +0.0265  +0.0171   239   309  +1.6295  1.032e-01     0
BADG 2010-01-28 2010-03-16  +0.0356  +0.2107  +0.0142  +0.0169   457   444  -7.9392  2.035e-15     1
BADG 2011-09-09 2011-10-12  +0.2107  +0.1369  +0.0169  +0.0185   444   166  +2.9425  3.256e-03     1
BADG 2018-01-12 2018-01-18  +0.1750  +0.2963  +0.0259  +0.0147   133   405  -4.0733  4.636e-05     1
BADG 2021-01-17 2021-02-10  +0.1177  +0.1378  +0.0135  +0.0315   634    96  -0.5879  5.566e-01     0
BADG 2023-01-25 2023-02-18  +0.1471  +0.2257  +0.0142  +0.0105   436  1003  -4.4514  8.533e-06     1
BAKE 2003-03-05 2003-05-25       NA  +0.2588       NA  +0.0157    NA   222       NA         NA    NA
BAKE 2006-02-27 2006-03-22  -0.0241  +0.2669  +0.0183  +0.0269    67    76  -8.9305  4.240e-19     1
BAKE 2006-12-04 2006-12-23  +0.5238  +0.4727  +0.0235  +0.0211   164    52  +1.6198  1.053e-01     0
BAKE 2007-02-14 2007-03-31  +0.4727  +0.4400  +0.0211  +0.0153    52   153  +1.2556  2.093e-01     0
BAKE 2010-03-09 2010-03-15  +0.4400  +0.5830  +0.0153  +0.0096   153   535  -7.9228  2.322e-15     1
BAKE 2011-12-01 2012-01-30  +0.5830  +0.5306  +0.0096  +0.0133   535   270  +3.1954  1.396e-03     1
BAKO 1994-08-06 1994-09-13       NA  +0.0724       NA  +0.0686    NA   401       NA         NA    NA
BAKO 1999-08-02 1999-09-09  +0.0724  -1.1634  +0.0686  +0.0866   401   239 +11.1894  4.597e-29     1
BAKO 2000-08-11 2000-08-22  -1.1634  -2.0272  +0.0866  +0.0889   239   234  +6.9597  3.409e-12     1
BAKO 2001-08-18 2001-08-19  -2.0272  -0.5919  +0.0889  +0.1302   234   114  -9.1006  8.982e-20     1
BAKO 2002-03-02 2002-03-05  -0.5919  -0.1517  +0.1302  +0.0740   114   329  -2.9382  3.302e-03     1
BAKO 2003-07-15 2003-07-19  -0.2311  +0.3125  +0.1720  +0.0985    72   190  -2.7420  6.107e-03     1
BAKO 2007-01-17 2007-02-05  +0.6909  +0.0803  +0.0964  +0.0534   211   641  +5.5393  3.036e-08     1
BAKO 2015-09-17 2015-10-21  +0.7980  +0.6543  +0.0285  +0.0373  2224  1292  +3.0579  2.229e-03     1
BAKO 2022-11-20 2022-11-28  -0.5404  -0.0713  +0.0677  +0.0566   415   546  -5.3161  1.060e-07     1
BAN2 2002-12-09 2003-01-04       NA  +2.0299       NA  +0.1153    NA    72       NA         NA    NA
BAN2 2004-01-20 2004-01-23  +0.8897  +1.8627  +0.0680  +0.1107   280    94  -7.4913  6.819e-14     1
BAN2 2004-05-03 2004-05-20  +1.8627  +0.6865  +0.1107  +0.1036    94   109  +7.7586  8.586e-15     1
BAN2 2005-01-27 2005-02-18  +1.0362  +1.3365  +0.1244  +0.1545    69    43  -1.5135  1.302e-01     0
BAN2 2005-04-04 2005-06-25  +1.3365  +0.9151  +0.1545  +0.1423    43    51  +2.0060  4.486e-02     1
BAN2 2005-08-18 2005-08-23  +0.9151  +0.5418  +0.1423  +0.1298    51    79  +1.9380  5.263e-02     0
BAN2 2011-09-23 2011-11-01  +1.5480  +0.5690  +0.0957  +0.0851   132   149  +7.6444  2.100e-14     1
BAN2 2012-04-06 2012-05-07  +0.5690  +1.4291  +0.0851  +0.0959   149   134  -6.7051  2.013e-11     1
BAN2 2012-09-19 2012-09-23  +1.4291  +0.9181  +0.0959  +0.1071   134   111  +3.5539  3.796e-04     1
BARH 1999-01-23 1999-01-25  +0.5913  +0.4071  +0.0431  +0.0156   106   977  +4.0158  5.924e-05     1
BARH 2002-03-09 2002-04-18  +0.4071  +0.5270  +0.0156  +0.0195   977   599  -4.8023  1.569e-06     1
BARH 2004-04-16 2004-04-25  +0.5270  +0.3870  +0.0195  +0.0298   599   294  +3.9276  8.581e-05     1
BARH 2014-01-11 2014-01-12  +0.2376  +0.1539  +0.0107  +0.0214  2144   553  +3.4926  4.783e-04     1
BARH 2015-10-01 2015-10-02  +0.1539  +0.2309  +0.0214  +0.0157   553   986  -2.8999  3.732e-03     1
BARH 2022-10-14 2022-10-14  +0.2684  +0.1390  +0.0138  +0.0154  1253  1036  +6.2527  4.035e-10     1
BDOS 2009-03-26 2009-05-03  -0.4009  -0.1695  +0.0353  +0.0327  1039  1234  -4.8097  1.511e-06     1
BHR1 1997-02-02 1997-02-21  +2.3914  +2.0278  +0.1211  +0.0909    58    88  +2.4002  1.638e-02     1
BHR1 1998-03-10 1998-05-18  +3.0208  +3.8539  +0.0802  +0.1151   170    80  -5.9374  2.895e-09     1
BHR1 2001-04-27 2001-05-11  +2.8564  +2.9058  +0.0399  +0.0623   558   227  -0.6681  5.041e-01     0
BHR1 2002-05-21 2002-06-06  +2.9058  +2.7217  +0.0623  +0.1331   227    60  +1.2524  2.104e-01     0
BHR1 2002-12-02 2003-06-05  +4.8331  +3.6267  +0.1669  +0.1061    50   105  +6.1009  1.055e-09     1
BHR1 2003-12-25 2004-01-16  +3.6267  +2.8678  +0.1061  +0.0517   105   324  +6.4305  1.272e-10     1
BHR1 2008-05-06 2008-06-03  +2.1637  +3.7153  +0.1227  +0.1404    56    48  -8.3205  8.760e-17     1
BILI 1999-09-05 1999-10-05       NA  -0.0333       NA  +0.0156    NA   149       NA         NA    NA
BILI 2001-01-27 2001-02-19  +0.1795  +0.0846  +0.0159  +0.0176   247   247  +4.0096  6.082e-05     1
BILI 2002-12-03 2002-12-04  +0.2608  +0.1482  +0.0263  +0.0144   115   237  +3.7491  1.775e-04     1
BILI 2003-08-30 2003-11-02  +0.1482  +0.1564  +0.0144  +0.0114   237   338  -0.4436  6.573e-01     0
BILI 2004-12-25 2005-01-07  +0.1564  -0.0013  +0.0114  +0.0201   338    76  +6.8153  9.410e-12     1
BILI 2005-12-23 2006-01-27  +0.3585  -0.3118  +0.0173  +0.0261   252    45 +21.3946 1.501e-101     1
BILI 2006-04-29 2006-05-12  +0.2144  +0.1473  +0.0322  +0.0343    46   130  +1.4260  1.539e-01     0
BILI 2006-10-20 2006-11-18  +0.1473  -0.0649  +0.0343  +0.0198   130    74  +5.3623  8.219e-08     1
BILI 2008-02-02 2008-03-05  +0.0406  +0.0722  +0.0188  +0.0243    86   143  -1.0262  3.048e-01     0
BILI 2008-11-09 2008-11-17  +0.0722       NA  +0.0243       NA   143    NA       NA         NA    NA
BISK 2014-10-25 2014-12-02  -0.0040  +0.2547  +0.0537  +0.0432   139    65  -3.7541  1.740e-04     1
BISK 2015-02-11 2015-02-13  +0.2547  +0.5926  +0.0432  +0.0399    65   112  -5.7446  9.216e-09     1
